Frequency(Hz),Air,Water,NaOH,HCl,NaCl,Ethanol,Glycerol,nothing
255533333,-62.44,-63.34,-63.6,-63.86,-63.66,-63.01,-63.02,-62.38
255920000,-62.45,-63.34,-63.66,-63.74,-63.61,-63.07,-62.87,-62.57
256306667,-62.57,-63.34,-63.68,-63.91,-63.6,-63.06,-63.07,-62.53
256693333,-62.47,-63.39,-63.66,-63.84,-63.67,-62.96,-62.9,-62.6
257080000,-62.56,-63.3,-63.65,-63.74,-63.65,-63.03,-62.99,-62.6
257466667,-62.6,-63.37,-63.69,-63.83,-63.67,-63.16,-62.97,-62.55
257853333,-62.71,-63.29,-63.64,-63.78,-63.62,-63.1,-62.92,-62.64
258240000,-62.62,-63.48,-63.66,-63.76,-63.58,-63.05,-62.97,-62.72
258626667,-62.76,-63.38,-63.68,-63.84,-63.68,-63.19,-62.96,-62.76
259013333,-62.73,-63.34,-63.69,-63.92,-63.61,-63.08,-62.99,-62.9
259400000,-62.78,-63.29,-63.68,-63.87,-63.66,-63.02,-63.01,-62.91
259786667,-62.9,-63.44,-63.74,-63.98,-63.74,-63.05,-63.06,-62.95
260173333,-63.01,-63.54,-63.84,-63.96,-63.68,-63.14,-63.08,-63.06
260560000,-62.99,-63.46,-63.84,-64.01,-63.61,-63.26,-63.15,-62.99
260946667,-63.2,-63.59,-63.94,-64.15,-63.72,-63.33,-63.19,-63.15
261333333,-63.3,-63.68,-63.96,-64.21,-63.93,-63.36,-63.23,-63.26
261720000,-63.17,-63.72,-64.03,-64.25,-63.9,-63.4,-63.27,-63.35
262106667,-63.44,-63.75,-64.08,-64.49,-64,-63.47,-63.43,-63.49
262493333,-63.46,-63.97,-64.21,-64.55,-64.13,-63.65,-63.6,-63.68
262880000,-63.59,-64,-64.25,-64.72,-64.13,-63.65,-63.58,-63.78
263266667,-63.84,-64.1,-64.55,-64.87,-64.37,-63.84,-63.72,-63.99
263653333,-64,-64.27,-64.67,-64.91,-64.44,-64.02,-63.9,-64.13
264040000,-64.21,-64.47,-64.86,-65.19,-64.59,-64.19,-64.01,-64.33
264426667,-64.31,-64.55,-64.99,-65.48,-64.77,-64.23,-64.14,-64.57
264813333,-64.59,-64.81,-65.16,-65.53,-64.89,-64.54,-64.36,-64.93
265200000,-64.88,-64.96,-65.34,-65.85,-65.14,-64.74,-64.51,-65.13
265586667,-65.15,-65.17,-65.63,-65.95,-65.26,-64.87,-64.76,-65.42
265973333,-65.43,-65.37,-65.77,-66.21,-65.45,-65.12,-64.96,-65.68
266360000,-65.68,-65.92,-66.03,-66.47,-65.65,-65.28,-65.34,-65.98
266746667,-66.04,-65.81,-66.26,-66.82,-65.85,-65.78,-65.44,-66.32
267133333,-66.5,-66.34,-66.37,-67.01,-66,-66.15,-65.65,-66.61
267520000,-66.84,-66.55,-66.84,-67.35,-66.3,-66.42,-66.15,-67.08
267906667,-67.2,-66.8,-67.08,-67.38,-66.49,-66.73,-66.46,-67.57
268293333,-67.6,-67.13,-67.19,-67.69,-66.59,-66.96,-66.66,-67.96
268680000,-68.1,-67.41,-67.55,-67.94,-66.96,-67.63,-67.03,-68.41
269066667,-68.62,-67.77,-67.7,-68.16,-67.09,-67.93,-67.51,-68.89
269453333,-69.05,-67.92,-67.62,-68.34,-67.21,-68.23,-67.84,-69.48
269840000,-69.46,-68.41,-68.05,-68.31,-67.4,-68.57,-68.3,-69.88
270226667,-70.17,-68.55,-68.05,-68.52,-67.58,-68.8,-68.55,-70.52
270613333,-70.85,-68.74,-68.01,-68.45,-67.59,-69.26,-68.79,-71.33
271000000,-71.48,-68.87,-68.33,-68.67,-67.72,-69.69,-69.23,-71.6
271386667,-72,-69.34,-68.15,-68.61,-67.97,-70.01,-69.71,-72.51
271773333,-72.56,-69.25,-68.21,-68.68,-67.74,-70.26,-70.08,-72.67
272160000,-73.13,-69.65,-68.39,-68.69,-67.91,-70.47,-70.55,-73.47
272546667,-73.79,-69.64,-68.49,-68.73,-67.79,-70.85,-70.77,-74.43
272933333,-74.12,-69.38,-68.41,-68.71,-68.04,-71,-70.81,-75.11
273320000,-75.13,-69.61,-68.23,-68.49,-67.89,-71.14,-71.05,-74.88
273706667,-75.48,-69.75,-68.29,-68.67,-68,-71.44,-71.27,-75.66
274093333,-76.12,-69.46,-68.44,-68.5,-67.96,-71.36,-71.49,-76.18
274480000,-76.45,-69.72,-68.21,-68.24,-67.96,-71.36,-71.68,-76.66
274866667,-76.75,-69.75,-68.33,-68.39,-68.02,-71.48,-71.79,-76.98
275253333,-77.07,-69.47,-68.03,-68.24,-67.75,-71.18,-71.47,-76.71
275640000,-77.61,-69.44,-67.9,-68.23,-67.71,-71.37,-71.58,-77.57
276026667,-77.96,-69.46,-67.9,-68.09,-67.52,-71.24,-71.44,-77.8
276413333,-77.74,-69.18,-67.83,-67.87,-67.54,-71.15,-71.77,-78.44
276800000,-78.27,-69.12,-67.51,-67.74,-67.4,-70.96,-71.91,-78.3
277186667,-78.31,-69.13,-67.51,-67.71,-67.32,-70.91,-71.75,-78.23
277573333,-79.12,-68.87,-67.37,-67.35,-67.19,-70.76,-71.8,-78.21
277960000,-78.66,-68.75,-67.17,-67.29,-66.95,-70.63,-71.52,-78.48
278346667,-78.51,-68.43,-66.99,-67.11,-66.89,-70.5,-71.51,-79.08
278733333,-78.75,-68.41,-66.77,-66.92,-66.62,-70.32,-71.1,-79.59
279120000,-79,-68.18,-66.61,-66.66,-66.44,-70.22,-71.29,-78.2
279506667,-78.47,-67.94,-66.43,-66.48,-66.21,-69.9,-71.14,-78.95
279893333,-78.32,-67.91,-66.21,-66.3,-66.25,-69.98,-70.93,-79.27
280280000,-78.54,-67.49,-66.06,-66.17,-65.78,-69.6,-70.7,-79.33
280666667,-77.99,-67.25,-65.73,-66.09,-65.68,-69.36,-70.82,-79.63
281053333,-78.3,-67.12,-65.49,-65.77,-65.49,-69.22,-70.75,-79.13
281440000,-78.39,-66.76,-65.48,-65.49,-65.4,-69.21,-70.29,-79.35
281826667,-78.31,-66.54,-65.22,-65.29,-65,-68.89,-70.15,-78.79
282213333,-78.62,-66.32,-64.88,-65.12,-64.92,-68.82,-70.02,-79.29
282600000,-78.07,-66.34,-64.79,-64.88,-64.5,-68.45,-69.7,-79.08
282986667,-78.32,-66,-64.42,-64.6,-64.28,-68.24,-70.01,-79.34
283373333,-78.77,-65.74,-64.29,-64.47,-64.27,-68.1,-69.48,-79.83
283760000,-78.56,-65.69,-64.13,-64.35,-63.95,-67.9,-69.36,-79.89
284146667,-78.38,-65.23,-63.99,-63.98,-63.74,-67.81,-69.44,-79
284533333,-78.74,-65.19,-63.7,-63.9,-63.65,-67.36,-69.03,-79.72
284920000,-78.88,-65.04,-63.47,-63.53,-63.3,-67.39,-68.85,-79.37
285306667,-79.11,-64.71,-63.19,-63.37,-63.1,-66.96,-68.77,-79.94
285693333,-78.7,-64.36,-62.95,-63.1,-62.95,-66.96,-68.74,-80.45
286080000,-79.2,-64.33,-62.66,-62.92,-62.72,-66.68,-68.35,-79.75
286466667,-79.78,-64,-62.51,-62.65,-62.5,-66.55,-68.39,-80.33
286853333,-79.38,-63.7,-62.09,-62.34,-62.14,-66.27,-68.08,-80.52
287240000,-79.25,-63.32,-61.96,-62.07,-61.93,-65.98,-67.84,-80.18
287626667,-79.23,-63.19,-61.59,-61.98,-61.67,-65.66,-67.47,-80.93
288013333,-79.27,-62.85,-61.32,-61.6,-61.45,-65.62,-67.23,-81.93
288400000,-79.28,-62.66,-61.09,-61.28,-61.14,-65.23,-67.19,-81
288786667,-79.4,-62.3,-60.79,-61.01,-60.84,-64.9,-66.69,-82.05
289173333,-79.33,-61.88,-60.39,-60.66,-60.53,-64.52,-66.49,-80.78
289560000,-79.45,-61.69,-60.15,-60.38,-60.27,-64.28,-66.12,-81.52
289946667,-79.69,-61.37,-59.86,-59.99,-60.06,-64.07,-66.01,-82.19
290333333,-79.6,-61.02,-59.59,-59.76,-59.75,-63.68,-65.81,-82.65
290720000,-80.21,-60.7,-59.39,-59.51,-59.42,-63.45,-65.54,-83.07
291106667,-79.79,-60.47,-59.04,-59.19,-59.14,-62.95,-65.19,-83.06
291493333,-79.66,-60.09,-58.75,-58.95,-58.84,-62.7,-64.65,-82.5
291880000,-79.14,-59.72,-58.39,-58.59,-58.44,-62.33,-64.39,-83.13
292266667,-79.43,-59.36,-58.14,-58.27,-58.18,-62.1,-63.9,-83.1
292653333,-78.85,-59.06,-57.81,-58.06,-57.88,-61.63,-63.74,-83.18
293040000,-78.78,-58.63,-57.54,-57.69,-57.48,-61.28,-63.39,-82.79
293426667,-78.65,-58.31,-57.25,-57.44,-57.22,-60.9,-63.05,-82.18
293813333,-77.99,-58.02,-56.9,-57.1,-56.85,-60.53,-62.57,-81.83
294200000,-77.4,-57.53,-56.59,-56.71,-56.48,-60.04,-62.26,-82.36
294586667,-77.12,-57.19,-56.34,-56.46,-56.18,-59.61,-61.74,-80.25
294973333,-76.48,-56.85,-56.01,-56.26,-55.88,-59.23,-61.45,-80.47
295360000,-75.73,-56.4,-55.7,-55.87,-55.54,-58.84,-61.11,-79.88
295746667,-75.34,-56.06,-55.37,-55.5,-55.22,-58.42,-60.7,-79.08
296133333,-74.87,-55.68,-55.15,-55.24,-54.96,-58.05,-60.29,-77.78
296520000,-74.07,-55.34,-54.83,-54.96,-54.64,-57.62,-59.87,-77.68
296906667,-73.74,-55.01,-54.56,-54.67,-54.37,-57.25,-59.48,-76.45
297293333,-72.88,-54.72,-54.3,-54.5,-54.13,-56.93,-59.19,-75.98
297680000,-72.23,-54.33,-54.04,-54.26,-53.82,-56.47,-58.77,-75.4
298066667,-71.36,-53.98,-53.8,-53.97,-53.6,-56.1,-58.4,-74.41
298453333,-70.68,-53.7,-53.57,-53.8,-53.37,-55.77,-57.97,-73.47
298840000,-70.19,-53.42,-53.37,-53.63,-53.18,-55.33,-57.64,-73.14
299226667,-69.41,-53.12,-53.13,-53.34,-52.91,-54.99,-57.21,-72.02
299613333,-68.84,-52.84,-52.9,-53.14,-52.75,-54.55,-56.78,-71.27
300000000,-68.06,-52.64,-52.7,-52.94,-52.56,-54.27,-56.39,-70.76
